
  1. setup                                          : etime=00:00:02.7    ctime=00:00:03.5    rss=153.012 Mbyte     virtual=146.344 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:04.8    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:03.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:00.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     

 23. Frequency 278.861 MHz                          : etime=00:00:03.1    ctime=00:00:06.8    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=710.984 Mbyte     virtual=730.625 Mbyte     
     4. solving linear system                       : etime=00:00:01.3    ctime=00:00:05.1    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        1. setup solver                             : etime=00:00:01.1    ctime=00:00:04.1    rss=710.984 Mbyte     virtual=730.625 Mbyte     
        2. solve                                    : etime=00:00:00.2    ctime=00:00:00.9    rss=710.984 Mbyte     virtual=730.625 Mbyte     
